sponsor_name,ein,city,state,ntee_code,classification,propublica_url,search_term_found,collected_at,website,email,phone,contact_person,mission_statement,annual_revenue,assets,outreach_status,email_sent,response_received,sponsorship_amount,notes,follow_up_date,priority_level
Finistere Charitable Foundation,822856772,New York,NY,T22,,https://projects.propublica.org/nonprofits/organizations/822856772,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Belvedere Charitable Foundation,980509706,New York,NY,T22,,https://projects.propublica.org/nonprofits/organizations/980509706,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Integrum Charitable Foundation,880585708,New York,NY,T21,,https://projects.propublica.org/nonprofits/organizations/880585708,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Grace Charitable Foundation,383911633,New York,NY,X11,,https://projects.propublica.org/nonprofits/organizations/383911633,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Jl Charitable Foundation,842397358,Monroe,NY,T23,,https://projects.propublica.org/nonprofits/organizations/842397358,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Manhattan Charitable Foundation,562290295,New York,NY,T20,,https://projects.propublica.org/nonprofits/organizations/562290295,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Landegger Charitable Foundation,510180544,Rye Brook,NY,,,https://projects.propublica.org/nonprofits/organizations/510180544,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Wayen Charitable Foundation,133466312,Forest Hills,NY,,,https://projects.propublica.org/nonprofits/organizations/133466312,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Ebg Charitable Foundation,822512506,Monsey,NY,T30,,https://projects.propublica.org/nonprofits/organizations/822512506,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Harjen Charitable Foundation,260276553,New York,NY,T20,,https://projects.propublica.org/nonprofits/organizations/260276553,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Arf Charitable Foundation,832786566,New York,NY,T21,,https://projects.propublica.org/nonprofits/organizations/832786566,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Jeffrey Charitable Foundation,814615729,Monsey,NY,T20,,https://projects.propublica.org/nonprofits/organizations/814615729,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Nexstar Charitable Foundation,136161525,New York,NY,,,https://projects.propublica.org/nonprofits/organizations/136161525,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Mfk Charitable Foundation,264457852,Brooklyn,NY,T22,,https://projects.propublica.org/nonprofits/organizations/264457852,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Segal Charitable Foundation,113412302,Brooklyn,NY,T90Z,,https://projects.propublica.org/nonprofits/organizations/113412302,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Evercore Charitable Foundation,863977771,New York,NY,T21,,https://projects.propublica.org/nonprofits/organizations/863977771,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Marelda Charitable Foundation,455510047,New York,NY,T20,,https://projects.propublica.org/nonprofits/organizations/455510047,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Kw Charitable Foundation,113366771,Brooklyn,NY,T31J,,https://projects.propublica.org/nonprofits/organizations/113366771,charitable foundation,2025-10-17 17:56:50,,,,,,,,not_contacted,no,no,,,,high
Overdeck Family Foundation,264377643,New York,NY,T22,,https://projects.propublica.org/nonprofits/organizations/264377643,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Blavatnik Family Foundation,812444350,New York,NY,T20,,https://projects.propublica.org/nonprofits/organizations/812444350,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Hao Family Foundation,473853918,Saratoga Spgs,NY,T20,,https://projects.propublica.org/nonprofits/organizations/473853918,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Banga Family Foundation,931621605,New York,NY,T20,,https://projects.propublica.org/nonprofits/organizations/931621605,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Stanley Family Foundation,61157888,Briarcliff,NY,,,https://projects.propublica.org/nonprofits/organizations/61157888,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
