sponsor_name,ein,city,state,ntee_code,classification,propublica_url,search_term_found,collected_at,website,email,phone,contact_person,mission_statement,annual_revenue,assets,outreach_status,email_sent,response_received,sponsorship_amount,notes,follow_up_date,priority_level,alignment_score,potential_level,donation_history,template_number,template_type
Wellspring Charity Fund,133994337,Brooklyn,NY,T20Z,,https://projects.propublica.org/nonprofits/organizations/133994337,charity,2025-10-17 17:57:24,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Bjls Charity Fund,465586809,Suffern,NY,T22,,https://projects.propublica.org/nonprofits/organizations/465586809,charity,2025-10-17 17:57:24,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Lorber Charitable Fund,113375574,Jericho,NY,T20Z,,https://projects.propublica.org/nonprofits/organizations/113375574,charitable,2025-10-17 17:57:25,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Turkish Philanthropy Funds Inc,208392006,New York,NY,Q12,,https://projects.propublica.org/nonprofits/organizations/208392006,philanthropy,2025-10-17 17:57:26,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Oceanside Scholarship Fund,116038132,Oceanside,NY,,,https://projects.propublica.org/nonprofits/organizations/116038132,scholarship,2025-10-17 17:57:15,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Civic Involvement Fund,852665963,Brooklyn,NY,,,https://projects.propublica.org/nonprofits/organizations/852665963,civic,2025-10-17 17:57:20,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Mbd Compass One B Housing Development Fund Company Inc,464051731,Bronx,NY,L20,,https://projects.propublica.org/nonprofits/organizations/464051731,company,2025-10-17 17:57:31,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Labor Management Healthcare Fund,200422657,Cheektowaga,NY,Y43,,https://projects.propublica.org/nonprofits/organizations/200422657,healthcare,2025-10-17 17:57:40,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Youth Renewal Fund,133641489,New York,NY,B25I,,https://projects.propublica.org/nonprofits/organizations/133641489,youth,2025-10-17 17:57:47,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Albanian Children Fund,133964543,Staten Island,NY,,,https://projects.propublica.org/nonprofits/organizations/133964543,children,2025-10-17 17:57:48,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
United States Fund For Unicef,131760110,New York,NY,Q420,,https://projects.propublica.org/nonprofits/organizations/131760110,united states,2025-10-17 17:57:54,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Dance Fund,203900047,N Hollywood,CA,A600,,https://projects.propublica.org/nonprofits/organizations/203900047,dance,2025-10-17 17:58:09,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Thornston Educational Fund,522350466,Wrightwood,CA,B12,,https://projects.propublica.org/nonprofits/organizations/522350466,educational,2025-10-17 17:58:16,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Hispanic Scholarship Fund,521051044,El Segundo,CA,B820,,https://projects.propublica.org/nonprofits/organizations/521051044,scholarship,2025-10-17 17:58:23,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Almanor Scholarship Fund,946066722,Chester,CA,,,https://projects.propublica.org/nonprofits/organizations/946066722,scholarship,2025-10-17 17:58:23,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Islamic Scholarship Fund,208540050,Berkeley,CA,B82,,https://projects.propublica.org/nonprofits/organizations/208540050,scholarship,2025-10-17 17:58:23,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Iranian Scholarship Fund,203100594,Menlo Park,CA,B82,,https://projects.propublica.org/nonprofits/organizations/203100594,scholarship,2025-10-17 17:58:23,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Croatian Scholarship Fund,680231056,San Ramon,CA,,,https://projects.propublica.org/nonprofits/organizations/680231056,scholarship,2025-10-17 17:58:23,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Social Impact Fund,461820448,Los Angeles,CA,T12,,https://projects.propublica.org/nonprofits/organizations/461820448,social,2025-10-17 17:58:27,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Cio Scholarship Fund,200332093,Laguna Beach,CA,B82,,https://projects.propublica.org/nonprofits/organizations/200332093,scholarship,2025-10-17 17:58:23,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Giving Tree Philanthropy Fund,872882740,Corning,NY,T12,,https://projects.propublica.org/nonprofits/organizations/872882740,giving,2025-10-17 17:57:28,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Mbd Compass One A Housing Development Fund Company Inc,464020203,Bronx,NY,L20,,https://projects.propublica.org/nonprofits/organizations/464020203,company,2025-10-17 17:57:31,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Sava Educational Fund,824820066,Philadelphia,PA,A70,,https://projects.propublica.org/nonprofits/organizations/824820066,educational,2025-10-17 18:01:42,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
